2019-02-11 15:43:53,714 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------43
2019-02-11 18:04:05,174 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1716
2019-02-11 18:04:05,192 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1732
2019-02-11 18:04:05,209 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1720
2019-02-11 18:04:05,227 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1736
2019-02-11 18:04:05,245 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1724
2019-02-11 18:04:05,262 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1740
2019-02-11 18:04:05,277 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1728
2019-02-11 18:04:05,292 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1744
2019-02-11 18:04:05,310 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1732
2019-02-11 18:04:05,326 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1748
2019-02-11 18:04:05,346 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1736
2019-02-11 18:04:05,362 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1752
2019-02-11 18:04:05,376 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1740
2019-02-11 18:04:05,391 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1756
2019-02-11 18:04:05,411 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1744
2019-02-11 18:04:05,431 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1760
2019-02-11 18:04:05,451 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1748
2019-02-11 18:04:05,471 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1764
2019-02-11 18:04:05,490 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1752
2019-02-11 18:04:05,510 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1768
2019-02-11 18:04:05,530 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1756
2019-02-11 18:04:05,550 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1772
2019-02-11 18:04:05,570 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1760
2019-02-11 18:04:05,593 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1776
2019-02-11 18:04:05,608 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1764
2019-02-11 18:04:05,623 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1780
2019-02-11 18:04:05,639 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1768
2019-02-11 18:04:05,653 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1784
2019-02-11 18:04:05,667 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1772
2019-02-11 18:04:05,682 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1788
2019-02-11 18:04:05,697 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1776
2019-02-11 18:04:05,711 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1792
2019-02-11 18:04:05,725 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1780
2019-02-11 18:04:05,740 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1796
2019-02-11 18:04:05,757 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1784
2019-02-11 18:04:05,774 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1800
2019-02-11 18:04:05,787 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1788
2019-02-11 18:04:05,802 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1804
2019-02-11 18:04:05,821 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1792
2019-02-11 18:04:05,835 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1808
2019-02-11 18:04:05,853 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1796
2019-02-11 18:04:05,871 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1812
2019-02-11 18:04:05,890 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1800
2019-02-11 18:04:05,909 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1816
2019-02-11 18:04:05,928 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1804
2019-02-11 18:04:05,942 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1820
2019-02-11 18:04:05,965 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1808
2019-02-11 18:04:05,985 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1824
2019-02-11 18:04:06,005 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1812
2019-02-11 18:04:06,026 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1828
2019-02-11 18:04:06,045 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1816
2019-02-11 18:04:06,060 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1832
2019-02-11 18:04:06,075 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1820
2019-02-11 18:04:06,089 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1836
2019-02-11 18:04:06,104 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1824
2019-02-11 18:04:06,119 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1840
2019-02-11 18:04:06,135 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1828
2019-02-11 18:04:06,152 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1844
2019-02-11 18:04:06,172 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1832
2019-02-11 18:04:06,194 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1848
2019-02-11 18:04:06,216 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1836
2019-02-11 18:04:06,237 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1852
2019-02-11 18:04:06,252 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1840
2019-02-11 18:04:06,274 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1856
2019-02-11 18:04:06,295 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1844
2019-02-11 18:04:06,315 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1860
2019-02-11 18:04:06,336 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1848
2019-02-11 18:04:06,358 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1864
2019-02-11 18:04:06,373 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1852
2019-02-11 18:04:06,389 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1868
2019-02-11 18:04:06,408 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1856
2019-02-11 18:04:06,425 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1872
2019-02-11 18:04:06,440 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1860
2019-02-11 18:04:06,455 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1876
2019-02-11 18:04:06,470 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1864
2019-02-11 18:04:06,488 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1880
2019-02-11 18:04:06,505 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1868
2019-02-11 18:04:06,520 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1884
2019-02-11 18:04:06,535 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1872
2019-02-11 18:04:06,550 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1888
2019-02-11 18:04:06,570 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1876
2019-02-11 18:04:06,584 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1892
2019-02-11 18:04:06,605 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1880
2019-02-11 18:04:06,625 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1896
2019-02-11 18:04:06,644 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1884
2019-02-11 18:04:06,665 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1900
2019-02-11 18:04:06,682 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1888
2019-02-11 18:04:06,699 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1904
2019-02-11 18:04:06,714 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1892
2019-02-11 18:04:06,730 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1908
2019-02-11 18:04:06,745 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1896
2019-02-11 18:04:06,761 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1912
2019-02-11 18:04:06,777 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1900
2019-02-11 18:04:06,800 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1916
2019-02-11 18:04:06,813 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1904
2019-02-11 18:04:06,830 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1920
2019-02-11 18:04:06,848 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1908
2019-02-11 18:04:06,866 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1924
2019-02-11 18:04:06,883 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1912
2019-02-11 18:04:06,900 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1928
2019-02-11 18:04:06,918 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1916
2019-02-11 18:04:06,933 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1932
2019-02-11 18:04:06,948 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1920
2019-02-11 18:04:06,967 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1936
2019-02-11 18:04:06,983 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1924
2019-02-11 18:04:07,002 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1940
2019-02-11 18:04:07,021 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1928
2019-02-11 18:04:07,037 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1944
2019-02-11 18:04:07,053 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1932
2019-02-11 18:04:07,069 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1948
2019-02-11 18:04:07,085 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1936
2019-02-11 18:04:07,103 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1952
2019-02-11 18:04:07,121 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1940
2019-02-11 18:04:07,137 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1956
2019-02-11 18:04:07,155 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1944
2019-02-11 18:04:07,176 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1960
2019-02-11 18:04:07,197 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1948
2019-02-11 18:04:07,213 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1964
2019-02-11 18:04:07,231 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1952
2019-02-11 18:04:07,250 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1968
2019-02-11 18:04:07,270 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1956
2019-02-11 18:04:07,290 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1972
2019-02-11 18:04:07,308 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1960
2019-02-11 18:04:07,326 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1976
2019-02-11 18:04:07,344 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1964
2019-02-11 18:04:07,363 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1980
2019-02-11 18:04:07,381 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1968
2019-02-11 18:04:07,402 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1984
2019-02-11 18:04:07,418 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1972
2019-02-11 18:04:07,434 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1988
2019-02-11 18:04:07,451 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1976
2019-02-11 18:04:07,468 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1992
2019-02-11 18:04:07,486 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1980
2019-02-11 18:04:07,502 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1996
2019-02-11 18:04:07,516 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1984
2019-02-11 18:04:07,534 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2000
2019-02-11 18:04:07,554 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1988
2019-02-11 18:04:07,573 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2004
2019-02-11 18:04:07,593 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1992
2019-02-11 18:04:07,613 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2008
2019-02-11 18:04:07,638 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1996
2019-02-11 18:04:07,660 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2012
2019-02-11 18:04:07,679 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2000
2019-02-11 18:04:07,695 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2016
2019-02-11 18:04:07,712 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2004
2019-02-11 18:04:07,730 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2020
2019-02-11 18:04:07,748 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2008
2019-02-11 18:04:07,768 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2024
2019-02-11 18:04:07,786 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2012
2019-02-11 18:04:07,804 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2028
2019-02-11 18:04:07,824 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2016
2019-02-11 18:04:07,841 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2032
2019-02-11 18:04:07,859 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2020
2019-02-11 18:04:07,874 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2036
2019-02-11 18:04:07,890 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2024
2019-02-11 18:04:07,910 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2040
2019-02-11 18:04:07,929 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2028
2019-02-11 18:04:07,946 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2044
2019-02-11 18:04:07,964 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2032
2019-02-11 18:04:07,987 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2048
2019-02-11 18:04:08,009 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2036
2019-02-11 18:04:08,030 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2052
2019-02-11 18:04:08,046 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2040
2019-02-11 18:04:08,064 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2056
2019-02-11 18:04:08,083 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2044
2019-02-11 18:04:08,100 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2060
2019-02-11 18:04:08,118 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2048
2019-02-11 18:04:08,135 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2064
2019-02-11 18:04:08,153 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2052
2019-02-11 18:06:21,758 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2056
2019-02-11 22:03:40,750 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2060
2019-02-11 22:03:42,114 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2064
2019-02-11 22:03:43,081 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2068
2019-02-11 22:03:43,744 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2072
2019-02-11 22:08:26,005 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------2076
2019-02-11 22:10:00,441 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 22:10:24,424 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 22:13:22,774 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 22:14:25,884 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 22:14:40,772 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 22:15:16,053 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 22:18:52,545 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 22:38:52,670 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 22:40:57,361 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------4
2019-02-11 22:41:48,224 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 22:41:49,684 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-11 22:41:52,651 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------12
2019-02-11 22:41:53,467 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------16
2019-02-11 22:41:53,787 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------20
2019-02-11 22:41:54,070 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------24
2019-02-11 22:41:54,309 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------28
2019-02-11 22:41:54,507 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------32
2019-02-11 22:41:54,740 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------36
2019-02-11 22:41:55,757 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------40
2019-02-12 15:14:27,824 This is our input ||||||||||:-------4+4 ||||||||||      This is our output:-------8
2019-02-12 15:36:37,415 This is our input ||||||||||:-------a+0 ||||||||||      This is our output:-------Cannot add a symbol or letter
2019-02-12 15:44:25,724 This is our input ||||||||||:-------4+0 ||||||||||      This is our output:-------4
2019-02-12 16:32:30,060 This is our input ||||||||||:-------4+0 ||||||||||      This is our output:-------4
2019-02-12 16:33:43,526 This is our input ||||||||||:-------4+0 ||||||||||      This is our output:-------4
2019-02-12 16:34:06,259 This is our input ||||||||||:-------4+0 ||||||||||      This is our output:-------4
2019-02-12 16:34:29,906 This is our input ||||||||||:-------4+0 ||||||||||      This is our output:-------4
2019-02-12 16:35:11,825 This is our input ||||||||||:-------4+0 ||||||||||      This is our output:-------4
2019-02-12 16:35:44,635 This is our input ||||||||||:-------4+0 ||||||||||      This is our output:-------4
2019-02-12 16:36:19,638 This is our input ||||||||||:-------4+0 ||||||||||      This is our output:-------4
2019-02-12 16:38:16,164 This is our input ||||||||||:-------4+0 ||||||||||      This is our output:-------4
2019-02-12 16:40:59,773 This is our input ||||||||||:-------4+0 ||||||||||      This is our output:-------4
2019-02-12 17:36:25,022 This is our input ||||||||||:-------a+0 ||||||||||      This is our output:-------Cannot add a symbol or letter
2019-02-13 17:53:31,207 This is our input ||||||||||:-------a+0 ||||||||||      This is our output:-------Cannot add a symbol or letter
2019-02-13 17:53:51,035 This is our input ||||||||||:-------4+0 ||||||||||      This is our output:-------4
2019-02-13 17:54:31,908 This is our input ||||||||||:-------4)+0 ||||||||||      This is our output:-------No expression after the the given number
2019-02-13 17:54:50,876 This is our input ||||||||||:-------4/0 ||||||||||      This is our output:-------cant divide with 0!!!!
